change_24h,market_cap,name,price,volume_24h
+0.00%,N/A,Resfinex Token,$0.0169,$2.66 M
-3.09%,N/A,Resistance Dog,$0.8255,"$83,826"
-23.23%,N/A,Resistor AI,$0.00229,"$26,272"
+21.29%,N/A,ReSource Protocol,$0.009984,"$12,380"
+1.69%,N/A,Restake Finance,$0.05489,N/A
+0.00%,N/A,Restore Truth Token,$0.00001043,$26
-0.71%,N/A,Retail Is Here,$0.0000229,N/A
+0.00%,N/A,Retawars GoldRose Token,$0.01495,$4.39 M
-36.98%,N/A,Retik Finance,$0.1356,N/A
+0.00%,N/A,Retire Token,$0.07262,N/A
+0.00%,N/A,RetroCade,$0.002145,"$126,981"
+0.00%,N/A,RETROCOIN,$0.00000004174,N/A
+0.00%,N/A,Retrogression,$0.0004171,N/A
+0.00%,N/A,RetroNeko,$0.0000006543,N/A
+0.00%,N/A,Retsuko,$0.0001781,N/A
+0.00%,N/A,REU,$0.01092,N/A
+0.00%,N/A,REU (BSC),$0.00000009585,"$5,010"
+1.67%,N/A,Reunit wallet,$0.8387,$118
-0.11%,N/A,Revault Network,$0.04787,N/A
+0.00%,N/A,Reversal,$0.000002843,N/A
+0.00%,N/A,RevivalDeFi,$0.000008095,N/A
+0.00%,N/A,Revive,$0.00002703,N/A
+0.00%,N/A,Revive,$0.00004343,N/A
+0.00%,N/A,Revo Network,$0.00001808,N/A
+0.00%,N/A,revoAI,$0.0008661,"$116,184"
-0.58%,N/A,REVOLAND TOKEN,$0.0004165,$261
+9.25%,N/A,Revolotto,$0.0621,N/A
+0.00%,N/A,Revolutin,$0.000001376,$4
+0.65%,N/A,Revolution,$0.5174,N/A
+0.00%,N/A,RevolutionGames,$0.001498,N/A
+0.00%,N/A,Revoluzion,$0.00017,"$13,181"
+0.00%,N/A,Revomon,$0.06436,N/A
+0.00%,N/A,Reward Cycle,$0.00003691,N/A
+0.00%,N/A,Reward Cycle 2,$0.0000115,N/A
+0.00%,N/A,Rewardeum,$0.0000000001357,N/A
+0.00%,N/A,Rewards,$0.0007172,N/A
+0.00%,N/A,Rewards BSC,$0.000000003605,"$29,557"
+0.00%,N/A,Rewards Bunny,$0.0007595,N/A
+0.00%,N/A,RewardsCoin,$0.00000006,N/A
+0.00%,N/A,RewardTax,$0.00005233,$18
+0.05%,N/A,REX,$0.00001703,"$48,774"
+12.85%,N/A,Rex,$0.001673,N/A
+0.00%,N/A,Rezerve,$0.04356,"$881,219"
+12.04%,N/A,RGAMES,$0.007502,N/A
+0.00%,N/A,RHINO,$0.0003757,$60
+4.70%,N/A,RhinoMars,$0.00000000000006679,N/A
+0.00%,N/A,Rhinos Finance,$0.000000001065,N/A
+0.00%,N/A,rhoUSDT,$0.9488,N/A
+0.00%,N/A,Ribbit,$0.01041,"$32,286"
+1.59%,N/A,Ribbit,$0.000000003986,"$341,535"
+25.09%,N/A,RIBBIT,$0.00001057,"$107,414"
+102.82%,N/A,Ribbit,$0.0001101,N/A
+0.00%,N/A,Ribbit Token,$0.00000000001747,"$37,766"
-5.13%,N/A,Ribus,$0.02777,N/A
+0.00%,N/A,Ric Flair,$0.004804,N/A
+0.00%,N/A,Rice,$0.0002758,N/A
+0.00%,N/A,Rice Wallet,$0.0009733,N/A
+0.00%,N/A,RiceFarm Token,$0.06624,N/A
+0.00%,N/A,Rich Cat,"$30,706.41",N/A
+0.00%,N/A,Rich DAO,$0.9731,$66
+2.33%,N/A,Rich Of Memes,$0.001326,N/A
+0.00%,N/A,RICH PEPE,$0.00000000002684,N/A
+0.00%,N/A,Richard,$0.00001849,N/A
+0.00%,N/A,RichCity,$0.00000000000001459,N/A
+0.00%,N/A,Richie,$0.000000000001933,N/A
+0.00%,N/A,Richlab Token,$0.00001006,N/A
+0.00%,N/A,RichMeme,$0.000000003754,"$47,482"
+0.50%,N/A,RichRabbit,$0.03152,N/A
+0.00%,N/A,Richverse,$0.00001994,N/A
+0.00%,N/A,Richy Boy Club Games Token,$0.08929,N/A
+0.00%,N/A,Rici Elon,$0.000002833,N/A
+0.00%,N/A,Rick And Morty,$0.00001783,N/A
+0.00%,N/A,RickMortyDoxx,$0.00000001085,N/A
+0.00%,N/A,Ricnatum,$0.0000003433,N/A
+0.00%,N/A,Ride To Earn,$0.00004826,N/A
+0.00%,N/A,Ride2Earn,$0.000004417,N/A
+0.00%,N/A,Ridge,$0.0000002175,N/A
+0.00%,N/A,Rielcoin,$0.003894,N/A
+0.00%,N/A,RIFI United,$0.0002598,N/A
+0.00%,N/A,RIGHT WING MEME,$0.00000000000003091,N/A
+0.00%,N/A,Rijent Coin,$0.0002001,"$26,048"
-1.11%,N/A,RIKEZA,$0.000009899,N/A
+0.00%,N/A,Rikkei Finance,$0.004852,$8
+15.48%,N/A,RIMAUNANGIS,$0.023,$3
-0.39%,N/A,Rimbit,$240.12,N/A
+0.00%,N/A,RimsofLegend,$0.0001791,$848
+4.70%,N/A,Rin Tin Tin,$0.0000001659,N/A
+0.00%,N/A,Ring,$0.000003576,"$319,134"
+3.17%,N/A,Ring AI,$0.1844,$64
+0.00%,N/A,RING Financial,$0.392,N/A
+0.00%,N/A,Rinia Inu,$0.006976,$116
+0.15%,N/A,Riot Racers,$0.003674,N/A
+0.00%,N/A,Ripae AVAX,$0.2718,N/A
+0.00%,N/A,Ripae pMATIC,$0.01312,N/A
+0.00%,N/A,RipDip,$0.000005458,N/A
+0.00%,N/A,Ripio Coin,$0.002032,N/A
+0.00%,N/A,Ripple Alpha,$0.0002901,N/A
+0.00%,N/A,Rise,$0.0002601,"$61,607"
+0.00%,N/A,Rise Moon,$0.02078,N/A
+0.00%,N/A,Rise of Defenders,$0.00004556,$601
-2.05%,N/A,Rise of Elves,$0.4627,N/A
+0.00%,N/A,Rise Of Empire,$0.0003254,N/A
+0.00%,N/A,Rise2Protocol,$0.002601,N/A
+0.00%,N/A,Risecoin,$0.0008707,N/A
+0.00%,N/A,RiseHero,$0.002279,$0.0003581
-2.25%,N/A,Rising Sun,$0.0000000000000002038,N/A
+0.00%,N/A,RisingSun,$0.00003283,"$5,699"
-3.74%,N/A,Risitas,$0.00005813,N/A
+0.00%,N/A,Risitas Coin,$0.0000000001622,N/A
+0.00%,N/A,RiskMoon,$0.000000000357,N/A
+0.00%,N/A,RISQ Protocol,$0.003902,N/A
-0.22%,N/A,Ritz.Game,$0.0004445,N/A
+0.00%,N/A,Riverboat,$669.38,N/A
+0.00%,N/A,Rivermount,$0.0002401,N/A
-0.31%,N/A,Rivetz,$0.001031,N/A
+0.00%,N/A,Rivex,$0.001501,N/A
+0.00%,N/A,RivrFloki,$0.0001266,N/A
+0.00%,N/A,RivrKitty,$0.0000001778,"$49,862"
-10.02%,N/A,RivusDAO,$0.0129,$408
+3.74%,N/A,Rizespor Token,$0.2599,N/A
+0.00%,N/A,Rizz Inu,$0.0000464,N/A
+0.00%,N/A,Rizz Token,$0.0000000002276,N/A
+0.00%,N/A,RIZZO,$0.00000000005871,N/A
+0.00%,N/A,RLDX,$0.003692,N/A
+0.00%,N/A,rLoop,$0.002735,N/A
-1.67%,N/A,RMBCASH,$0.1392,N/A
+0.00%,N/A,RMDEngine,$0.0001245,N/A
+0.00%,N/A,RO Slayers,$0.008717,N/A
+0.00%,N/A,RoaoGame,$0.0005606,N/A
+0.00%,N/A,Roar Token,$0.00000449,$4
-26.71%,N/A,Roaring Kitty,$0.0003762,N/A
+0.00%,N/A,Roaring Twenties,$0.002502,"$106,794"
+135.95%,N/A,RoaringPepe,$0.000466,N/A
+0.00%,N/A,RoArts Token,$0.00009583,N/A
+6.50%,N/A,ROB,$0.00000003243,N/A
+0.00%,N/A,ROBBY,$0.002751,N/A
+0.00%,N/A,Robert F Kennedy Jr,$0.00002253,N/A
+0.00%,N/A,ROBIN HOOD,$0.0003801,N/A
+0.00%,N/A,Robin Inu,$0.0000005739,$493
-3.53%,N/A,Robin of Da Hood,$0.00002018,N/A
+0.00%,N/A,ROBINOS,$0.002121,N/A
+0.00%,N/A,ROBO PEPE,$0.000008,N/A
+0.00%,N/A,Robo Token,$0.008355,N/A
+0.00%,N/A,RoboCalls,$0.000001654,N/A
+0.00%,N/A,ROBOCOCK UWU,$0.00002308,N/A
+0.00%,N/A,RoboDoge Coin,$0.00000000000004498,"$71,845"
-1.12%,N/A,RoboFi,$0.03422,"$155,271"
-10.27%,N/A,RoboHero,$0.01809,N/A
+0.00%,N/A,Roboots,$0.0001799,N/A
+0.00%,N/A,RoboShib,$0.0000003601,N/A
+0.00%,N/A,ROBOT SHIB,$0.000000000000009136,N/A
+0.00%,N/A,ROBOT SHIB SWAP,$0.00005323,N/A
-0.00%,N/A,Robot Warriors,$0.004001,"$8,810"
+1.52%,N/A,RobotBulls,$16.56,N/A
-0.03%,N/A,Robotina,$0.006267,N/A
+0.00%,N/A,RoboWars BSC,$0.00003692,N/A
+0.00%,N/A,RobustSwap Token,$0.2627,$462
+4.42%,N/A,Rock,$0.000001918,$1.52 M
-0.89%,N/A,Rock Dao,$0.000171,N/A
+0.00%,N/A,Rock Me,$0.00000000001666,N/A
+0.00%,N/A,Rocket,$0.00000002386,N/A
+0.00%,N/A,Rocket Finance,$0.001194,N/A
+0.00%,N/A,ROCKET GLOBAL,$0.0002679,N/A
+0.00%,N/A,Rocket Launchpad,$0.005701,"$12,915"
+0.80%,N/A,Rocket Man,$0.00000009141,N/A
+0.00%,N/A,Rocket Raccoon,$0.0000000001408,N/A
+0.00%,N/A,Rocket Raccoon,$0.0001296,N/A
+0.00%,N/A,Rocket Raccoon,$0.000009508,N/A
+0.00%,N/A,Rocket Race,$0.008337,N/A
+0.00%,N/A,Rocket Raptor,$0.0000001584,N/A
+0.00%,N/A,Rocket Shib,$0.0000000001202,N/A
+0.00%,N/A,Rocket Token,$0.000003248,N/A
+0.00%,N/A,Rocket Yield,$0.00000001092,N/A
+0.00%,N/A,RocketBUSD,$0.0000006303,$37
-1.62%,N/A,RocketFi,$0.0000008032,N/A
+0.00%,N/A,RocketMoon,$0.0000000001893,$513
+2.06%,N/A,RocketSwap,$0.1254,$186
+0.00%,N/A,RocketVerse,$0.000004766,N/A
+0.00%,N/A,RocketVerse,$0.0001247,$9
-0.67%,N/A,RocketXRP Official,$0.00009376,"$609,812"
+34.52%,N/A,Rocky,$0.002752,$1.07 M
-22.76%,N/A,ROCKY,$0.009548,N/A
+0.00%,N/A,Rocky Inu,$0.000000000232,$412
+1.26%,N/A,Rodeo,$0.04497,N/A
+0.00%,N/A,Rodeo Coin,$0.0009389,N/A
+0.00%,N/A,RODO,$6.30,N/A
+0.00%,N/A,ROFL,$0.001645,N/A
+0.00%,N/A,Rogan Coin,$0.00000000004104,$4.25 M
-0.49%,N/A,ROGin AI,$0.5127,N/A
+0.00%,N/A,ROI Token,$0.000019,N/A
+0.00%,N/A,ROIMA INC TOKEN,$0.0001965,N/A
+0.00%,N/A,ROIyal Coin,$3.25,N/A
+0.00%,N/A,ROKKIT FUEL,$0.000000002553,N/A
+0.00%,N/A,Rokkor Project,$0.0003371,"$67,868"
+22.35%,N/A,Roko,$0.00004648,N/A
+0.00%,N/A,Rolaz Gold,$0.2223,N/A
+0.00%,N/A,Roller,$0.0002179,N/A
-0.01%,N/A,RollerSwap,$0.00009998,"$110,161"
+3.72%,N/A,ROMCOIN,$0.1472,N/A
+0.00%,N/A,Ronaldo Coin,$0.0001503,"$744,862"
-1.54%,N/A,ROND,$0.002089,N/A
+0.00%,N/A,ROONEX,$0.000008258,$1.27 M
-45.64%,N/A,Roost Coin,$0.0168,N/A
+0.00%,N/A,Rooster Battle,$0.0005078,"$68,089"
-14.06%,N/A,Root Protocol,$0.007116,N/A
+0.00%,N/A,Rootkit Finance,"$1,547.84",N/A
+0.00%,N/A,Rope,$1.61,N/A
+0.00%,N/A,Rope Coin,$0.00001752,N/A
+0.00%,N/A,RopeCoin,$0.00000000004969,$3.88 M
+0.00%,N/A,Rose,$0.01631,N/A
+0.00%,N/A,Rose Finance,$0.00001695,"$7,869"
-16.55%,N/A,Rosecoin,$0.7963,"$777,838"
+17.32%,N/A,Roseon World,$0.01464,$679
-3.85%,N/A,RoseWifHat,$0.000002392,N/A
+0.00%,N/A,Roshambo,$0.0000002545,N/A
+0.00%,N/A,Roso Elite Gamblers Mansion,$0.0001851,N/A
+0.00%,N/A,Ross Inu,$0.0000000001612,N/A
+0.00%,N/A,Rotate,$0.006538,N/A
+2.81%,N/A,Rotharium,$2.13,N/A
+0.00%,N/A,Rottoken,$0.00000008,N/A
+0.00%,N/A,Rottoken (new),$0.00001299,N/A
+0.00%,N/A,ROTTSCHILD,$0.0000004171,"$704,243"
-0.02%,N/A,ROTTYCOIN,$0.0000003369,N/A
+0.00%,N/A,RougeCoin,$0.00005534,N/A
+0.00%,N/A,RouletteBot,$0.003681,N/A
+0.00%,N/A,Round Dollar,$2.05,"$61,993"
+8.80%,N/A,Round X,$0.00004905,"$87,800"
+7.92%,N/A,roup (Ordinals),$0.0006085,N/A
+0.00%,N/A,ROVI,$0.02284,"$912,353"
-11.79%,N/A,Rowan Token,$0.2851,N/A
+0.00%,N/A,Roxe Cash,$0.00004,"$347,569"
+53.37%,N/A,ROXY FROG,$0.0001884,N/A
+0.00%,N/A,Royal BET,$0.0000002514,N/A
+0.00%,N/A,Royal Chain,$0.000005006,N/A
+0.00%,N/A,Royal Doge,$0.00427,N/A
+0.00%,N/A,Royal Flush Coin,$0.000004171,$0.2226
-0.80%,N/A,Royal Gold,$0.005235,N/A
+0.00%,N/A,Royal Protocol,$0.00001472,N/A
+0.00%,N/A,RoyalPay,$0.00001292,$27
-7.22%,N/A,RPS LEAGUE,$0.004656,$6.78 M
-7.18%,N/A,RSIC•GENESIS•RUNE,$0.01248,N/A
+0.00%,N/A,RUBCASH,$0.01089,N/A
-0.09%,N/A,Rubies,$0.003545,"$734,607"
-1.29%,N/A,Rubix,$234.42,N/A
-0.01%,N/A,Ruby Currency,$3.00,$171
+1.03%,N/A,Ruby Play Network,$0.001028,N/A
-0.04%,N/A,Rubycoin,$0.09145,N/A
+0.00%,N/A,Rudolph Coin,$0.00000000001939,N/A
+0.00%,N/A,Rufferal.com,$0.000149,N/A
+0.00%,N/A,RUG BIDEN,$0.00000001275,N/A
+0.00%,N/A,Rug Proof,$0.02479,$271
+33.11%,N/A,RUG RADIO,$0.02803,N/A
-0.01%,N/A,RUGAME,$0.00000007001,N/A
+0.00%,N/A,Rugged Art,$20.39,N/A
+0.00%,N/A,Rugpull Prevention,$0.01225,N/A
+0.00%,N/A,RugSeekers,$0.0000000005209,$7
-7.21%,N/A,RugZombie,$0.0001164,N/A
+0.00%,N/A,Rule,$0.00003054,N/A
+0.00%,N/A,Rumble Gaming,$0.0000002314,N/A
+0.00%,N/A,Rumito,$4.63,N/A
+0.00%,N/A,RUN COIN,$0.00001318,N/A
+0.00%,N/A,RUN DOGE,$0.00000001175,N/A
+0.00%,N/A,Run For Life,$0.0007933,$81
-3.72%,N/A,RUN TOGETHER,$0.006156,N/A
+0.00%,N/A,Run&Burn,$0.0008436,$40
-0.39%,N/A,RunBlox,$0.0005659,N/A
+0.00%,N/A,RunEarner,$0.008648,N/A
+0.00%,N/A,Runnect Finance,"$5,206.72",N/A
+0.00%,N/A,Runner Land,$0.000003802,N/A
+0.00%,N/A,Runy,$0.0002253,N/A
-0.08%,N/A,Rupee,$0.0000709,N/A
+0.00%,N/A,RUSH,$0.008101,N/A
+0.00%,N/A,Rush DeFi,$0.3568,N/A
+0.00%,N/A,Rush Technology,$0.00000005114,N/A
+0.00%,N/A,RushMars,$0.0000000004619,"$55,865"
-0.05%,N/A,RuufCoin,$0.0226,N/A
+0.00%,N/A,Ruyi,$0.00003625,$355
-0.18%,N/A,RWA Fianace,$0.2226,N/A
+0.00%,N/A,RxC,$0.0007082,$31
-0.63%,N/A,RXCGames,$0.001802,N/A
+0.00%,N/A,RxSeed Coin,$0.01001,N/A
+0.00%,N/A,RYderOSHI,$0.0004923,$0.1458
+0.00%,N/A,RYI Platinum,$0.06989,N/A
+0.00%,N/A,Ryoma,$0.001139,N/A
+0.00%,N/A,Ryoshi Finance,$0.00000000000000000177,N/A
+0.00%,N/A,Ryoshi Finance,$0.00001403,"$225,461"
+1.94%,N/A,Ryoshi Research,$0.1144,$56
+8.29%,N/A,Ryoshi Token,$0.0000000007974,$40
+1.91%,N/A,Ryoshi's Coin,$0.00001021,N/A
+0.00%,N/A,Ryoshimoto,$0.000000001692,"$2,599"
+1.24%,N/A,Ryoshis Vision,$0.000000009903,N/A
+0.00%,N/A,Ryuji Inu,$0.000000001244,"$735,538"
+44.94%,N/A,RyuJin,$0.00000001185,N/A
+0.00%,N/A,S-ONE Finance,$0.6122,$5.43 M
-3.61%,N/A,Saakuru Protocol,$0.05057,N/A
+0.00%,N/A,Saba Finance,$0.000001053,N/A
+0.00%,N/A,Sabac Warrior,$0.001936,"$75,842"
+3.07%,N/A,Sacabam,$0.0000000409,N/A
+0.00%,N/A,Sacred Tails,$0.00001698,$4.91 M
-12.14%,N/A,SAD HAMSTER,$0.03656,N/A
+0.00%,N/A,Sadbaby,$0.0000008001,N/A
+0.00%,N/A,Safari,$0.0001064,N/A
+0.00%,N/A,Safari Crush,$0.00008915,N/A
+0.00%,N/A,Safe,$2.16,N/A
+0.00%,N/A,SAFE Community Token,$0.0000001525,N/A
+0.00%,N/A,Safe Drive,$0.00000009424,N/A
+0.00%,N/A,Safe Earn,$0.0000000001885,$69
+0.00%,N/A,Safe PEPE Moon,$0.00000001679,$10
+0.00%,N/A,Safe Protocol,$0.000004251,N/A
+0.00%,N/A,Safe Shield,$0.00000000005184,N/A
+0.00%,N/A,Safe Star,$0.0000000009983,N/A
+0.00%,N/A,SAFE TOKEN,$0.02162,N/A
+0.00%,N/A,Safe Trip Finance,$0.0004245,N/A
+0.00%,N/A,Safe Universe,$0.001414,"$153,660"
-0.05%,N/A,SAFE(AnWang),$1.72,N/A
+0.00%,N/A,SafeBitcoin,$0.00000000189,N/A
+0.00%,N/A,SafeBreast Inu,$0.0000001189,$0.4376
-0.35%,N/A,SafeBull,$0.00000000003979,N/A
+0.00%,N/A,Safebuy,$0.00001441,N/A
+0.00%,N/A,SafeCap Token,$0.0001385,N/A
+0.00%,N/A,SAFECATVILLS,$0.000000003502,N/A
+0.00%,N/A,Safechaintoken,$0.0002893,N/A
+0.00%,N/A,SafeComet,$0.0000000003787,N/A
+0.00%,N/A,SafeDogecoin,$0,N/A
+0.00%,N/A,SafeDogeCoin V2,$0.0006022,N/A
+0.00%,N/A,SafeEarth,$0.000000000007102,N/A
+0.00%,N/A,SafeETH,$0.0000000001684,N/A
+0.00%,N/A,Safefloki,$0.0000000001237,N/A
+0.00%,N/A,SAFEGAME CASH,$0.00000000008015,$1
+5.65%,N/A,SafeGem.Finance,$0.000000000006838,$10
+4.75%,N/A,SafeGrok,$0.0000000000001785,N/A
+0.00%,N/A,SafeGrow,$0.00001962,N/A
+0.00%,N/A,SafeHamsters,$0.000000004974,N/A
+0.00%,N/A,Safeicarus,$0.0000000001236,$33
-0.30%,N/A,SafeLaunch,$0.07363,N/A
+0.00%,N/A,SafeLaunchpad,$0.0000003121,N/A
+0.00%,N/A,SafeLight,$0.0000000002742,N/A
+0.00%,N/A,SafeLunar,$0.0000006033,$107
+4.39%,N/A,SafeMars,$0.000000005293,N/A
+0.00%,N/A,SafeMars,$0.00000003096,N/A
+0.00%,N/A,Safemate,$0.007155,N/A
+0.00%,N/A,SafeMoneyBSC,$0.0000000001101,$15
-0.17%,N/A,SafeMoneyUP,$0.00004885,N/A
-9.74%,N/A,SafeMoo,$0.000006661,N/A
+0.00%,N/A,Safemoon 1996,$0.0006239,N/A
+0.00%,N/A,SafeMoon 2.0,$0.000007134,"$3,241"
-16.01%,N/A,SAFEMOON SOLANA,$0.00007526,N/A
+0.00%,N/A,Safemoon Zilla,$0.0000000000000000003,N/A
+0.00%,N/A,SafeMoon-AVAX,$0.00000000002363,$78
+4.22%,N/A,SafeMoonCash,$0.000000000009932,N/A
+0.00%,N/A,SafeMoonomics,$0.0000000001278,"$2,256"
-0.52%,N/A,SafemoonTon,$0.0000002095,$911
+3.63%,N/A,Safemuun,$0.00003667,N/A
+0.00%,N/A,SafeOHM,"$4,752.65",N/A
+0.00%,N/A,SafePanda,$0.0000000001399,N/A
+0.00%,N/A,SafePizza,$0.0000000000002857,N/A
-0.02%,N/A,SAFEREUM,$0.0000009344,N/A
+0.00%,N/A,Safereum (BSC),$0.00000005835,N/A
+0.00%,N/A,SaferMoon,$0.000000001848,N/A
+0.00%,N/A,Saferune,$0.0000000006396,N/A
+0.00%,N/A,SafeShiba,$0.003924,N/A
+0.00%,N/A,SAFESPACE,$0.0000000005493,N/A
+0.00%,N/A,SAFESUN,$0.0000001401,"$1,405"
+79.50%,N/A,SafeSwap,$0.00007717,N/A
+0.00%,N/A,Safeswap Governance Token,$0.01199,N/A
+0.00%,N/A,Safetesla,$0.00000000005743,N/A
+0.00%,N/A,SAFETREES,$0.000000006152,N/A
+0.00%,N/A,Safety,$0.0001053,N/A
+0.00%,N/A,SafeUKR,$0.000000008216,N/A
+0.00%,N/A,SafeVault,$0.000000001754,N/A
+0.00%,N/A,SafeWages,$0.0000000164,N/A
+0.00%,N/A,SafeWallet Token,$0.00009024,N/A
+0.00%,N/A,SafeWhale Games,$0.000003517,N/A
+0.00%,N/A,SafeYield,$0.0005082,N/A
+0.00%,N/A,SafeZone,$0.000223,$59
-0.08%,N/A,Safle,$0.002634,N/A
+0.00%,N/A,SafuFide,$0.000178,N/A
+0.00%,N/A,SafuTitano,$0.01378,$188
+0.98%,N/A,Safuu,$0.1556,N/A
+0.00%,N/A,SafuuGO,$662.75,N/A
+0.00%,N/A,SafuYield Protocol,$0.0000000005054,N/A
+0.00%,N/A,SaharaDAO,$0.0004332,"$3,446"
-13.48%,N/A,Sailor Moons,$0.03294,N/A
+0.00%,N/A,Saint Inu,$0.00000009445,N/A
+0.00%,N/A,Saint Ligne,$0.07572,N/A
+0.00%,N/A,SaintPatrick,$0.0000309,N/A
+0.00%,N/A,SaitaBit,$0.0008896,"$15,837"
+0.00%,N/A,Saitama,$0.00000000007197,N/A
+0.00%,N/A,Saitama Inu,$0.0000669,N/A
+0.00%,N/A,Saitama Inu 2.0,$0.0000000000001016,N/A
+0.00%,N/A,Saitama Samurai,$0.0001417,N/A
+0.00%,N/A,SaitaMars,$0.000004957,N/A
+0.00%,N/A,SaitamaX,$0.0000000002611,N/A
+0.00%,N/A,Saitanobi,$0.00000000000000000231,N/A
+0.00%,N/A,Saitoki Inu,$0.0000002783,N/A
+0.00%,N/A,Saitoki Inu (new),$0.002173,"$6,813"
-17.21%,N/A,Saiyan PEPE,$0.0000004957,N/A
+0.00%,N/A,Saja,$0.000000000001485,$454
-3.36%,N/A,Sakaryaspor Token,$0.1262,N/A
+0.00%,N/A,Sakata Inu,$0.001208,N/A
+0.00%,N/A,Sake,"$1,223.36",N/A
+0.09%,N/A,Sakura Bloom,$0.000393,N/A
+0.00%,N/A,Sakura Neko,$0.0000001962,N/A
+0.00%,N/A,Sakura Planet,$0.0004999,$162
+1.20%,N/A,SALAMANDER,$0.00000000009557,N/A
+0.00%,N/A,Salary Mining,$0.0006951,N/A
+0.00%,N/A,Salmonation,$0.0003002,"$13,436"
+0.40%,N/A,SalmonSwap,$1.01,N/A
+0.00%,N/A,SALO Players,$0.001,N/A
-0.01%,N/A,Saltmarble,$0.4585,$65
+0.64%,N/A,SaltSwap Finance,$0.0006117,N/A
+0.00%,N/A,Salty Coin,$0.0000001104,N/A
-0.09%,N/A,SaluS,$5.67,$160
+6.36%,N/A,SAM,$0.00000000006391,"$16,228"
-18.48%,N/A,Sam Bankmeme-Fried,$0.003389,N/A
+0.00%,N/A,samoydecoin,$0.00000018,N/A
+0.00%,N/A,Samurai,$0.3459,N/A
+0.00%,N/A,Samurai Legends,$0.000007013,N/A
+0.00%,N/A,SamuraiBattle,$0.0002051,N/A
+0.00%,N/A,Samurinu,$0.000000002092,N/A
+0.00%,N/A,SamZ,$0.0003315,N/A
+0.00%,N/A,SandMan,$0.3982,$1
-0.03%,N/A,Sandwich Network,$0.00007311,$695
-9.69%,N/A,Sandy,$0.0001027,$3
-0.01%,N/A,SANGKARA MISA,$0.000000291,$223
+0.25%,N/A,Sanji Inu,$0.0000000000009422,"$580,571"
-4.61%,N/A,Sanko GameCorp,$143.22,$44
+0.00%,N/A,Sanshu Inu,$0.000000000005055,N/A
+0.00%,N/A,Sanshu Inu,$0.007268,$32
+0.94%,N/A,SANTA CHRISTMAS INU,$0.00000000000002625,N/A
+0.00%,N/A,Santa Floki,$0.00000006649,$0.1832
+2.49%,N/A,Santa Floki v2.0,$0.0000203,N/A
+0.00%,N/A,Santa Grok,$0.0000000000002498,N/A
+0.00%,N/A,Santa Inu,$0.00000000007558,N/A
+0.00%,N/A,Santa Musk,$0.0339,N/A
+0.00%,N/A,Santa Shiba,$0.00000000003315,$2
-0.02%,N/A,SappChat,$0.000257,"$2,020"
-6.99%,N/A,Sapphire,$0.003473,N/A
+0.00%,N/A,SarabiChain,$0.002044,$3.79 M
-5.24%,N/A,Saros,$0.004209,N/A
+0.00%,N/A,SASQUATCH,$0.000009317,N/A
+0.00%,N/A,Sasuke Inu,$0.000002247,N/A
+0.00%,N/A,Sasuke Uchiha,$0.00001546,N/A
+0.00%,N/A,Sata Exchange,$0.0000208,$43
-13.26%,N/A,Satellite Doge-1,$0.0000000000001306,"$27,386"
+6.93%,N/A,Satellite Doge-1 Mission,$0.001262,N/A
+0.00%,N/A,SatelStar,$0.03109,N/A
+0.00%,N/A,SatoExchange Token,$0.0006288,$6
+1.82%,N/A,Satopay Network,$0.000000003857,N/A
+0.00%,N/A,Satoru Inu,$0.000000000654,N/A
+0.00%,N/A,Satoshi,$0.0002616,N/A
+0.00%,N/A,SatoShi Monsters,$0.001025,"$15,243"
+4.34%,N/A,Satoshi Nakamoto,$0.8728,$13
-0.09%,N/A,Satoshi Nakamoto Token,$0.0006095,"$78,328"
-4.99%,N/A,Satoshi Pumpomoto,$0.0005619,"$10,144"
-0.28%,N/A,Satoshi Stablecoin,$0.0007197,N/A
+0.00%,N/A,SatoshiCeo,$0.000001155,N/A
+0.00%,N/A,SatoshiCity,$0.0003523,N/A
+0.00%,N/A,SatoshiCrypto,$0.0001288,$38
+0.08%,N/A,Satoshis Vision,$0.009938,N/A
+0.00%,N/A,SatoshiStreetBets,$0.000000004546,N/A
+0.00%,N/A,SatoshiStreetBets Token,$0.000000000009407,N/A
+0.00%,N/A,SatoshiSwap,$0.00003309,"$167,162"
-12.84%,N/A,SatoshiSync,$0.03718,$1.15 M
-2.42%,N/A,SatoshiVM,$2.95,$12.61 M
+9.06%,N/A,SATOSHI•NAKAMOTO,$3.13,"$7,478"
+1.59%,N/A,Satoxcoin,$0.0003201,$275
-1.39%,N/A,Satozhi,$0.02857,$48.09 M
+1.08%,N/A,SATS (Ordinals),$0.0000003276,N/A
+0.00%,N/A,Sats Hunters,$0.05918,N/A
+0.00%,N/A,SaturnV Gold v2,$0.009,N/A
+1.01%,N/A,SAUCEINU,$0.00001442,N/A
-0.01%,N/A,Saudi Bonk,$0.0000003439,N/A
+0.00%,N/A,SAUDI Milady,$0.000000000001453,"$1,944"
-2.43%,N/A,SAUDI PEPE,$0.000003371,N/A
+0.00%,N/A,SAUDI RAPTOR,$0.00000369,N/A
+0.00%,N/A,Saudi Saurus,$0.00004718,$22
+4.99%,N/A,saudishibainu,$0.00000000007959,N/A
+0.00%,N/A,Saul Goodman,$0.00000000002843,N/A
+0.00%,N/A,SaunaFinance Token,$0.0008585,N/A
+0.00%,N/A,Sav3Token,$0.02288,"$25,630"
